position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Governor,Thorold Masefield,Q56811167,1997,2001,male,1939,,,Thorold Masefield
Governor,John Vereker,Q11727996,2002-04-11,2007-10-12,male,1944-08-09,,,John Vereker (civil servant)
Governor,Richard Gozney,Q1278584,2007-12-12,2012-05-18,male,1951-07-21,,Governor175.jpg,Richard Gozney
Governor,George Fergusson,Q3489398,2012-05-23,2016-08-02,male,1955-09-30,,George Fergusson (cropped).jpg,George Fergusson (diplomat)
Governor,Ginny Ferson,Q39503490,2016-08-02,2016-12-05,female,1963,,,Ginny Ferson
Governor,John Rankin,Q15429094,2016-12-05,2020-12-12,male,1957-03-12,,John Rankin 2016 (cropped).jpg,John Rankin (diplomat)
Governor,Rena Lalgie,Q97685578,2020-12-14,,female,,,S300 Rena Lalgie photo.jpg,Rena Lalgie
Deputy Governor,Mark Andrew Capes,Q6766545,2006,2009,male,1954-02-19,,,Mark Capes
Deputy Governor,Ginny Ferson,Q39503490,2013-12,2018-07,female,1963,,,Ginny Ferson
Deputy Governor,Alison Crocket,Q110097256,2018-07,,female,,,,
Premier,Jennifer M. Smith,Q6178578,1998-11-10,2003-07-29,female,1947-10-14,,,Jennifer M. Smith
Premier,William Alexander Scott,Q8004288,2003-07-29,2006-10-30,male,1940,,,Alex Scott (politician)
Premier,Ewart Brown,Q1291036,2006-10-30,2010-10-29,male,1946,,Ewart Brown.JPG,Ewart Brown
Premier,Paula Cox,Q3082392,2010-10-29,2012-12-18,female,1964,,Paula Cox 2010 (cropped).jpg,Paula Cox
Premier,Craig Cannonier,Q1281098,2012-12-18,2014-05-19,male,1963,,Craig Cannonier.jpg,Craig Cannonier
Premier,Michael Dunkley,Q17626860,2014-05-19,2017-07-19,male,1958-06-18,,Michael Dunkley 2015.jpg,Michael Dunkley
Premier,E. David Burt,Q33120852,2017-07-19,,male,1978-11-23,,Edward David Burt 1 (cropped).jpg,Edward David Burt
Deputy Premier,Walter Roban,Q107980143,2017-07-19,,male,,,,
Minister for the Cabinet Office,Wayne L. Furbert,Q107980074,2017-07-19,,male,,,,
Minister of Economic Development and Tourism,Jamahl Simmons,Q107980343,2017-07-19,2018-11-01,male,,,,
Minister of Economy and Labour,Jason Hayward,Q107980104,2022-02-22,,male,,,,
Minister of Education,Diallo Rabain,Q107980110,2017-07-19,,male,,,,
Minister of Finance,Curtis L. Dickinson,Q107980116,2017-07-19,2022-02-14,,,,,
Minister of Finance,E. David Burt,Q33120852,2022-02-14,,male,1978-11-23,,Edward David Burt 1 (cropped).jpg,Edward David Burt
Minister of Health,Kim Wilson,Q94952755,2017-07-19,,female,,,Kim Wilson.jpg,Kim Wilson (politician)
Minister of Home Affairs,Walter Roban,Q107980143,2017-07-19,,male,,,,
Minister of Labour,Jason Hayward,Q107980104,2017-07-19,2022-02-22,male,,,,
Minister of Legal Affairs,Kathy Lightbourne-Simmons,Q107980095,2017-07-20,,female,,,,
Minister of National Security,Wayne Caines,Q56522655,2017-07-19,2020-07-06,male,,,,Wayne Caines
Minister of National Security,Renee Ming,Q107980085,2020-07-16,2022-04-04,female,,,,
Minister of National Security,Michael Weeks,Q110993896,2022-04-04,,male,,,,
Minister of Public Works,David Burch,Q107980114,2017-07-19,,male,,,,
Minister of Social Development and Seniors,Tinee Furbert,Q107980082,2020-10-08,,female,,,,
Minister of Social Development and Sport,Zane DeSilva,Q107980320,2017-07-19,2020-07-06,male,,,,
Minister of Tourism,Vance Campbell,Q111752726,2022-04-04,,male,,,,
Minister of Transport,Lawrence Scott,Q107980091,2020-10-08,,male,,,,
"Minister of Youth, Culture and Sports",Ernest Peets,Q107980108,2020-11-10,,male,,,,
Attorney General,Kathy Lightbourne-Simmons,Q107980095,2017-07-20,,female,,,,
Speaker of the House of Assembly,Dennis Lister,Q109517094,2017-09-08,,male,,,,
